query_id,source_id,source_text,candidate_score,judgment_score
hier. adv. iovin. 1.1,verg. ecl. 8.62,"Haec Damon; uos, quae responderit Alphesiboeus, dicite, Pierides: non omnia possumus omnes.",0.9523522853851318,1.0
hier. adv. iovin. 1.1,verg. georg. 1.197,"uidi lecta diu et multo spectata labore degenerare tamen, ni uis humana quotannis maxima quaeque manu legeret: sic omnia fatis in peius ruere ac retro sublapsa referri, non aliter quam qui aduerso uix flumine lembum remigiis subigit, si bracchia forte remisit, atque illum in praeceps prono rapit alueus amni.",0.9448226094245911,1.0
hier. adv. iovin. 1.1,verg. aen. 1.177,"tum Cererem corruptam undis Cerealiaque arma expediunt fessi rerum, frugesque receptas et torrere parant flammis et frangere saxo.",0.944619745016098,1.0
hier. adv. iovin. 1.1,verg. aen. 10.636,"tum dea nube caua tenuem sine uiribus umbram in faciem Aeneae uisu mirabile monstrum Dardaniis ornat telis clipeumque iubasque diuini assimulat capitis, dat inania uerba, dat sine mente sonum gressusque effingit euntis, morte obita qualis fama est uolitare figuras aut quae sopitos deludunt somnia sensus.",0.940729409456253,1.0
hier. adv. iovin. 1.1,verg. georg. 2.475,"Me uero primum dulces ante omnia Musae, quarum sacra fero ingenti percussus amore, accipiant caelique uias et sidera monstrent, defectus solis uarios lunaeque labores, unde tremor terris, qua ui maria alta tumescant obicibus ruptis rursusque in se ipsa residant, quid tantum Oceano properent se tingere soles hiberni, uel quae tardis mora noctibus obstet.",0.9391340911388397,1.0
hier. adv. iovin. 1.1,verg. ecl. 3.49,MENALCAS Numquam hodie effugies; ueniam quocumque uocaris.,0.9295673072338104,1.0
hier. adv. iovin. 1.1,verg. ecl. 3.26,"non tu in triuiis, indocte, solebas stridenti miserum stipula disperdere carmen?",0.9291231334209442,1.0
hier. adv. iovin. 1.1,verg. aen. 11.508,"o decus Italiae uirgo, quas dicere grates quasue referre parem?",0.9251103699207306,1.0
hier. adv. iovin. 1.1,verg. aen. 10.875,"sic pater ille deum faciat, sic altus Apollo!",0.8976220190525055,1.0
hier. adv. iovin. 1.1,verg. aen. 4.172,"coniugium uocat, hoc praetexit nomine culpam.",0.8749447762966156,1.0
hier. adv. iovin. 1.41,verg. aen. 11.508,"o decus Italiae uirgo, quas dicere grates quasue referre parem?",0.9328747689723969,1.0
hier. adv. iovin. 1.41,verg. ecl. 8.62,"Haec Damon; uos, quae responderit Alphesiboeus, dicite, Pierides: non omnia possumus omnes.",0.9138210415840149,1.0
hier. adv. iovin. 1.41,verg. ecl. 3.26,"non tu in triuiis, indocte, solebas stridenti miserum stipula disperdere carmen?",0.912529319524765,1.0
